Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,2021B89C10760000C0885E59B1570000005F,B89C10760000C0885E59B1570000005F,ZTENEWTZD,P-24-0408-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,ZTENEWJSWJ,P-13-0039-2021,0,,,,
Classified Item,Document Family,03-专利奖励,B89C107600003CE05B6ABC0800002B66,Document,JLTZ201802,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201822235362.5,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820917027.0,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820889252.8,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820889250.9,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888978.X,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888977.5,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888460.6,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888459.3,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888458.9,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888184.3,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820888165.0,0,,,,
Classified Item,Document Family,2018专利,B89C107600003CE05B6ABB6100002ADB,Document,ZL201820887544.8,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0044-2020,0,,,,
Classified Item,Document Family,2022第1季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0082-2022,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-VD-24-0054-2020,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000177,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000178,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000179,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000180,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000182,0,,,,
Classified Item,Document Family,10-产品配置表,B89C1076000048F85B752065000014E1,Document,DOC-0000185,0,,,,
Classified Item,Document Family,新物料开发申请表,B89C10760000C0885E59B210000001B9,Document,DOC-0001620,0,,,,
Classified Item,Document Family,2020B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,Document,P-13-0053-2020,0,,,,
Classified Item,Document Family,01-通知,B89C10760000C0885E59B610000019A6,Document,【2020】006号,0,,,,
Classified Item,Document Family,24-产品实施通知单,B89C1076000048F85B752065000014E1,Document,P-TM-24-0039-2020,0,,,,
Classified Item,Document Family,2022B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,ZTENEWTZD,P-13-0123-2022,0,,,,
Classified Item,Document Family,02-专利清单,B89C107600003CE05B6ABC0800002B66,Document,ZLTZ2018,0,,,,
Classified Item,Document Family,02-专利清单,B89C107600003CE05B6ABC0800002B66,Document,ZLTZ2017,0,,,,
Classified Item,Document Family,03-专利奖励,B89C107600003CE05B6ABC0800002B66,Document,JLTZ201801,0,,,,
Classified Item,Document Family,03-专利奖励,B89C107600003CE05B6ABC0800002B66,Document,JLTZ201701,0,,,,
Classified Item,Document Family,05-其他,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000011,0,,,,
Classified Item,Document Family,05-其他,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000010,0,,,,
Classified Item,Document Family,05-其他,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000008,0,,,,
Classified Item,Document Family,05-其他,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000007,0,,,,
Classified Item,Document Family,05-其他,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000006,0,,,,
Classified Item,Document Family,04-专利资料,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000012,0,,,,
Classified Item,Document Family,04-专利资料,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000013,0,,,,
Classified Item,Document Family,01-专利申请流程,B89C107600003CE05B6ABC0800002B66,Document,ZLGL000009,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0505-2019,0,,,,
Classified Item,Document Family,2022第4季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0745-2022,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,ZTENEWTZD,P-05-0047-2021,0,,,,
Classified Item,Document Family,2021B89C10760000C0885E59B22B00000202,B89C10760000C0885E59B22B00000202,ZTENEWTZD,P-13-0040-2021,0,,,,
Classified Item,Document Family,2021第4季度,B89C107600003EB45FF2905200005CA6,ZTENEWTZD,P-06-1094-2021,0,,,,
Classified Item,Document Family,02-专利清单,B89C107600003CE05B6ABC0800002B66,Document,ZLTZ2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0539-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0536-2019,0,,,,
Classified Item,Document Family,2020B89C10760000C0885E59B1DA00000145,B89C10760000C0885E59B1DA00000145,Document,P-05-0045-2020,0,,,,
