编号,供应商名称,描述
Ashtree Vision _ Safety Ltd,Ashtree Vision _ Safety Ltd,外后视镜
BMC Truck _ Bus Trans Service Company,BMC Truck _ Bus Trans Service Company,充电机、充电弓
Datasite Hong Kong Limited,Datasite Hong Kong Limited,Z240304
Elephant Holdings Limited,Elephant Holdings Limited,扩音机、功放机
EURABUS GmbH,EURABUS GmbH,Z130026 充电插座、充电机
Kiel Polska Sp. z o.o.,Kiel Polska Sp. z o.o.,Z110001 座椅
LTG Rastatt GmbH,LTG Rastatt GmbH,Z150061 路牌
——,——,自制件
三灶朗克木业装饰材料行,三灶朗克木业装饰材料行,Z150067 九厘板、五厘板、竹胶板
三角集团有限公司,三角集团有限公司,Z120021 轮胎
上海久立汽车配件制造有限公司,上海久立汽车配件制造有限公司,Z150007 司机窗帘
上海久翊汽车零部件有限公司,上海久翊汽车零部件有限公司,遮阳帘
上海乐相科技有限公司,上海乐相科技有限公司,影音系统
上海佑望科技发展有限公司,上海佑望科技发展有限公司,Z150056 PVC板
上海兆如实业有限公司,上海兆如实业有限公司,Z150085 芬兰进口双面覆膜木地板
上海冷溪科技有限公司,上海冷溪科技有限公司,易燃挥发物报警系统
上海加冷松芝汽车空调股份有限公司,上海加冷松芝汽车空调股份有限公司,Z120043 空调
上海双钱轮胎销售有限公司,上海双钱轮胎销售有限公司,Z120020 轮胎
上海同驭汽车科技有限公司,上海同驭汽车科技有限公司,Z140058 线控液压制动系统和电子手刹
上海姜来实业有限公司,上海姜来实业有限公司,风道棉（带吕箔）
上海宏蕾化工有限公司,上海宏蕾化工有限公司,Z150042 胶类
上海开腾信号设备有限公司,上海开腾信号设备有限公司,Z130017 灯具
上海微积丰贸易发展有限公司,上海微积丰贸易发展有限公司,Z130008 进口地板革
上海楚典贸易有限公司,上海楚典贸易有限公司,Z150051 波纹管
上海沃敬机械科技有限公司,上海沃敬机械科技有限公司,Z130037 电子油门踏板
上海治砺环境工程有限公司,上海治砺环境工程有限公司,Z230015 漆雾絮凝剂
上海浩兆实业有限公司,上海浩兆实业有限公司,空调新风装置
上海海蛟交通设备有限公司,上海海蛟交通设备有限公司,车载IC卡机
上海申视汽车新技术有限公司,上海申视汽车新技术有限公司,Z130009 后视镜
上海申龙客车有限公司,上海申龙客车有限公司,Z120002 三类底盘
上海盘毂动力科技股份有限公司,上海盘毂动力科技股份有限公司,电机、电机控制器
上海石象新材料科技有限公司,上海石象新材料科技有限公司,胶、粘接胶
上海硕然电子科技有限公司,上海硕然电子科技有限公司,空调新风装置
